"IDnum","family","annual","MarinaSp","nat.inv","Functional.group","species_code","falsename","tolumpname"
"101","Asteraceae","annual","yes","native","Forb","Achmol","",""
"  1","Asteraceae","annual","yes","native","Forb","Agohet","","Agoseris"
"102","ALLIACEAE","bulb","no","native","Forb","Allamp","",""
"  2","ALLIACEAE","bulb","no","native","Forb","Allfal","Allgal",""
"103","Boraginaceae","annual","yes","native","Forb","Amsmen","",""
"  3","Primulaceae","annual","yes","invasive","Forb","Anaarv","",""
"  4","Asteraceae","annual","yes","native","Forb","Ancfil","",""
"  4","Asteraceae","annual","yes","native","Forb","Ancfil","",""
"104","Rosaceae","A/P","no","native","Forb","Aphocc","",""
"105","Fabaceae","annual","no","native","N-fixer","Astbre","",""
"106","Fabaceae","annual","yes","native","N-fixer","Astgam","",""
"107","Fabaceae","annual","no","native","N-fixer","Astragsp","Astragalussp",NA
"  5","Brassicaceae","annual","yes","native","Forb","Athpus","",""
"  6","Poaceae","annual","yes","invasive","Grass","Avefat","",""
"108","Poaceae","annual","yes","invasive","Grass","Brodia","",""
"  7","THEMIDACEAE","perennial","no","native","Forb","Broele","",""
"  8","Poaceae","annual","yes","invasive","Grass","Brohor","",""
"  9","Poaceae","annual","yes","invasive","Grass","Bromad","",""
" 10","MONTIACEAE","annual","no","native","Forb","Calcil","",""
" 10","MONTIACEAE","annual","no","native","Forb","Calcil","",""
"109","LILIACEAE","bulb","no","native","Forb","Callut","",""
" 11","Asteraceae","annual","yes","native","Forb","Calpau","",""
"110","LILIACEAE","bulb","no","native","Forb","Calsup","",""
"111","Onagraceae","annual","no","native","Forb","Camgra","",""
"112","Asteraceae","annual","yes","invasive","Forb","Carpyc","",""
" 12","Orobanchaceae","annual","yes","native","Forb","Casatt","",""
" 12","Orobanchaceae","annual","yes","native","Forb","Casatt","",""
"113","Orobanchaceae","annual","no","native","Forb","Casrub","",""
" 13","Asteraceae","annual","yes","invasive","Forb","Censol","",""
" 13","Asteraceae","annual","yes","invasive","Forb","Censol","",""
" 14","Asteraceae","annual","no","native","Forb","Centri","",""
" 14","Asteraceae","annual","no","native","Forb","Centri","",""
"114","Rosaceae","shrub","no","native","Shrub","Cerbet","",""
"115","Caryophyllaceae","annual","no","invasive","Forb","Cerglo","",""
" 15","Asteraceae","annual","yes","native","Forb","Chagla","",""
" 16","AGAVACEAE","bulb","no","native","Forb","Chlpom","",""
"116","polygonaceae","annual","no","native","Forb","Chopol","",""
"117","Asteraceae","Biennial","no","invasive","Forb","Cirsp.","",""
"118","MONTIACEAE","annual","no","native","Forb","Claexi","",""
" 17","Onagraceae","annual","yes","native","Forb","Clagra","",""
" 18","Onagraceae","annual","yes","native","Forb","Clapur","",""
" 80","Onagraceae","annual","no","native","Forb","Clarkiasp","","Clagra"
" 80","Onagraceae","annual","no","native","Forb","Clarkiasp","","Clapur"
" 19","Plantaginaceae","annual","yes","native","Forb","Colspa","",""
" 19","Plantaginaceae","annual","yes","native","Forb","Colspa","",""
"119","CRASSULACEAE","annual","no","native","Forb","Cracon","",""
" 20","Boraginaceae","annual","no","native","Forb","Cryhis","",""
"120","Boraginaceae","annual","yes","native","Forb","Crymic","",""
"121","CONVOLVULACEAE","annual","no","native","Forb","Cuscal","",""
"122","Poaceae","annual","yes","invasive","Grass","Cynech","",""
"123","Poaceae","perennial","no","invasive","Grass","Dacglo","",""
"124","Apiaceae","annual","yes","native","Forb","Daupus","",""
"125","Ranunculaceae","perennial","no","native","Forb","Delvar","",""
" 21","THEMIDACEAE","perennial","no","native","Forb","Diccap","",""
"126","Brassicaceae","annual",NA,"invasive","Forb","Draver","Draver",NA
" 22","Poaceae","perennial","no","native","Grass","Elyely","",""
" 23","Onagraceae","annual","yes","native","Forb","Epibra","","Epilobiumsp"
"127","Onagraceae","perennial","no","native","Forb","Epicil","Epicil",NA
"128","Onagraceae","annual",NA,"native","Forb","Epimin","Epimin",NA
"129","EUPHORBIACEAE","annual","no","native","Forb","Ereset","",""
" 25","Asteraceae","perennial","no","native","Forb","Erilan","",""
" 24","polygonaceae","shrub","no","native","Forb","Erinud","",""
" 24","polygonaceae","shrub","no","native","Forb","Erinud","Eriogonumsp",""
"130","polygonaceae","annual","no","native","Forb","Erivim","",""
"131","Geraniaceae","annual","no","invasive","Forb","Erobra","",""
"132","Geraniaceae","annual","yes","invasive","Forb","Erocic","",""
" 26","Euphorbiaceae","annual","yes","native","Forb","Eupcre","",""
" 27","Asteraceae","annual","no","native","Forb","Filcal","","Filgal"
" 27","Asteraceae","annual","no","invasive","Forb",NA,"","Filgal"
" 28","LILIACEAE","bulb","no","native","Forb","Fripur","",""
" 29","Rubiaceae","annual","no","native","Forb","Galapa","Galape",""
" 81","Rubiaceae","annual","no",NA,"Forb","Galiumsp","","Galapa"
" 81","Rubiaceae","annual","no",NA,"Forb","Galiumsp","","Galmur"
" 30","Rubiaceae","annual","yes","invasive","Forb","Galmur","",""
"133","Poaceae","annual","yes","invasive","Grass","Gasven","",""
"134","Geraniaceae","annual","yes","invasive","Forb","Gerdis","",""
" 31","Polemoniaceae","annual","yes","native","Forb","Gilcap","",""
" 32","Polemoniaceae","annual","yes","native","Forb","Giltri","",""
" 32","Polemoniaceae","annual","yes","native","Forb","Giltri","",""
" 33","Asteraceae","annual","yes","native","Forb","Hemcon","",""
"135","Linaceae","annual","no","native","Forb","Hescal","",""
"136","Linaceae","annual",NA,"native","Forb","Hesmic","Hesmic",NA
" 34","Asteraceae","annual","yes","native","Forb","Holvir","",""
"137","Poaceae","perennial","no","native","Grass","Horbra","",""
" 35","Asteraceae","annual","yes","invasive","Forb","Hypgla","",""
"138","JUNCACEAE","annual","no","native","Grass","Junbuf","Jumbuf",""
" 36","Asteraceae","annual","no","invasive","Forb","Lacser","",""
" 37","Asteraceae","annual","yes","native","Forb","Lagmin","",""
" 38","Asteraceae","annual","yes","native","Forb","Lascal","",""
" 38","Asteraceae","annual","yes","native","Forb","Lascal","",""
" 39","Brassicaceae","annual","yes","native","Forb","Lepnit","",""
" 39","Brassicaceae","annual","yes","native","Forb","Lepnit","Lepnid",""
"139","Asteraceae","annual","no","native","Forb","Lesram","",""
"140","Polemoniaceae","annual","no","native","Forb","Linbic","",""
" 40","Polemoniaceae","annual","yes","native","Forb","Lindic","",""
"141","Polemoniaceae","annual","no","native","Forb","Linjep","",""
" 41","Poaceae","annual","no","invasive","Grass","Lolmul","",""
" 42","Apiaceae","perennial","no","native","Forb","Lommar","",""
" 43","Fabaceae","annual","no","native","N-fixer","Lothum","",""
"142","Fabaceae","annual","no","native","N-fixer","Lotwra","",""
"143","Fabaceae","annual","yes","native","N-fixer","Lupbicnan","Lupinussp","Lupbic"
"143","Fabaceae","annual","yes","native","N-fixer","Lupbicnan","","Lupnan"
"144","Fabaceae","annual","yes","native","N-fixer","Lupmic","",""
"145","Asteraceae","annual","no","native","Forb","Madsp.","",""
" 44","Fabaceae","annual","yes","invasive","N-fixer","Medpol","",""
"146","Poaceae","perennial","no","native","Grass","Melcal","",""
" 45","Asteraceae","annual","yes","native","Forb","Miccal","",""
" 46","Asteraceae","annual","yes","native","Forb","Micdou","",""
" 47","PHRYMACEAE","annual","no","native","Forb","Mimdou","",""
" 47","PHRYMACEAE","annual","no","native","Forb","Mimdou","",""
" 48","PHRYMACEAE","perennial","no","native","Forb","Mimgut","",""
"147","Caryophyllaceae","annual","no","native","Forb","Mincal","",""
"148","Caryophyllaceae","annual",NA,"native","Forb","Mindou","Mindou",NA
"149","MONTIACEAE","annual","no","native","Forb","Monfon","",""
" 49","Poaceae","perennial","no","native","Grass","Naspul","",""
" 50","Polemoniaceae","annual","no","native","Forb","Navjep","",""
"150","Polemoniaceae","annual","yes","native","Forb","Navpub","",""
"151","Boraginaceae","annual","no","native","Forb","Nemped","",""
" 51","Caryophyllaceae","annual","no","invasive","Forb","Petpro","",""
" 51","Caryophyllaceae","annual","no","invasive","Forb","Petpro","",""
" 52","Polemoniaceae","annual","no","native","Forb","Phlgra","",""
" 53","Plantaginaceae","annual","yes","native","Forb","Plaere","",""
" 53","Plantaginaceae","annual","yes","native","Forb","Plaere","",""
"152","Boraginaceae","annual","yes","native","Forb","Planot","",""
"153","VALERIANACEAE","annual","no","native","Forb","Plecil","",""
"154","Poaceae","annual","yes","native","Grass","Poasec","",""
"155","Poaceae","annual","yes","invasive","Grass","Polmon","",""
"156","Asteraceae","annual",NA,"invasive","Forb","Pselut","Pselut",NA
"157","Ranunculaceae","perennial","no","native","Forb","Rancal","",""
"158","Ranunculaceae","perennial","no","native","Forb","Ranocc","Rancalocc",""
"158","Ranunculaceae","perennial","no","native","Forb","Ranocc","Ran-sp",""
" 54","Asteraceae","annual","yes","native","Forb","Riglep","RipLep",""
"159","Caryophyllaceae","annual","no","invasive","Forb","Sagape","",""
"160","Caryophyllaceae",NA,"no","native","Forb","Sagcal","",""
"161","APIACEAE","perennial","no","native","Forb","Sansp.","",""
"162","Asteraceae","annual","yes","invasive","Forb","Senvul","",""
" 55","Malvaceae","annual","yes","native","Forb","Siddip","SidDip",""
" 56","Caryophyllaceae","annual","no","native","Forb","Silgal","",""
" 57","Iridaceae","perennial","no","native","Forb","Sisbel","",""
"163","Asteraceae",NA,"no","invasive","Forb","Sonsp.","",""
"164","Caryophyllaceae","annual","no","native","Forb","Stenit","",""
"165","Brassicaceae","annual","no","native","Forb","Strbre","",""
" 58","Poaceae","annual","no","invasive","Grass","Taecap","",""
" 59","Brassicaceae","annual","yes","native","Forb","Thycur","",""
"166","APIACEAE","annual","no","invasive","Forb","Torarv","",""
" 60","Fabaceae","annual","yes","native","N-fixer","Trialb","",""
"167","Fabaceae","annual","no","invasive","N-fixer",NA,"Tridub",""
" 61","Fabaceae","annual","yes","native","N-fixer","Trifuc","",""
" 64","Fabaceae","annual","yes","native","N-fixer","Trigra","Tribif",""
" 64","Fabaceae","annual","yes","native","N-fixer","Trigra","","Tribifgra"
" 62","Fabaceae","annual","yes","invasive","N-fixer","Trihir","",""
"170","THEMIDACEAE","perennial","no","native","Forb","Trilax","Trilax",NA
"168","Fabaceae","annual","yes","native","N-fixer",NA,"Trimic",""
" 82","Fabaceae","annual","no",NA,"N-fixer","Trisp","","Trifoliumsp"
" 82","Fabaceae","annual","no",NA,"N-fixer","Trisp","","Tricil"
" 82","Fabaceae","annual","no",NA,"N-fixer","Trisp","","Tridub"
" 82","Fabaceae","annual","no",NA,"N-fixer","Trisp","","Trimic"
"169","Fabaceae","annual","no","invasive","N-fixer","Trisub","",""
" 63","Fabaceae","annual","yes","native","N-fixer","Triwil","",""
" 90",NA,NA,NA,NA,"Forb","uforbs","totunkforbs",NA
" 91","Poaceae",NA,NA,NA,"Grass","ugrass","totunkgrass",NA
" 92","LILIACEAE","perennial","no",NA,"Forb","unkper","Thinleavedliliaceae",NA
" 65","Asteraceae","annual","yes","native","Forb","Urolin","",""
" 65","Asteraceae","annual","yes","native","Forb","Urolin","",""
" 66","Caryophyllaceae","annual","no","invasive","Forb","Velrig","",""
" 67","Fabaceae","annual","yes","invasive","N-fixer","Vicvil","",""
" 68","VIOLACEAE","perennial","no","native","Forb","Viodou","",""
" 69","Poaceae","annual","no","native","Grass","Vulmic","",""
" 70","Poaceae","annual","no","invasive","Grass","Vulmyu","Vulmyo",""
" 70","Poaceae","annual","no","invasive","Grass","Vulmyu","Vulpiasp",NA
" 71","MELANTHIACEAE","perennial","no","native","Forb","Zigfre","",""
NA,NA,NA,NA,NA,NA,NA,"Clapar",NA
NA,NA,NA,NA,NA,NA,NA,"Collin",NA
NA,NA,NA,NA,NA,NA,NA,"Plaera",NA
NA,NA,NA,NA,NA,NA,NA,"NANA",NA
NA,NA,NA,NA,NA,NA,NA,"Lolium",NA
