"","trait","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11"
"SCT","SCT","-0.0886293909857851","0.349276954619166","-0.579508041263719","0.0483115159228821","-0.222463568183896","0.302972981468313","0.155799337861287","-0.00193389124404388","-0.474542435129712","0.375811088159829","-0.001590773519367"
"Mass","Mass","-0.313858494834831","0.520952430321247","-0.217311089704634","0.0686303897448317","0.0945131506137265","-0.263563372731282","0.0533172388820575","0.023251555499898","0.387704124030297","-0.163713985555444","0.565038639139941"
"SCP","SCP","-0.0308286812624092","-0.336557523939","-0.160403306515445","0.658985717725493","-0.117763788511311","-0.448539537789704","0.320890962100174","-0.296476418645315","0.00677792645381362","0.139274709078181","-0.020458262221114"
"Carbon","Carbon","0.335124396112754","-0.277246026465855","-0.370652448940921","0.0621153324992088","-0.152417076210959","-0.0101858812850036","-0.193833037161286","0.608873307949034","0.397520552170562","0.261059144355038","0.108524617142722"
"CN","CN","-0.269312392941254","0.061984909082016","0.317350086811097","0.42596974165437","-0.2895415071313","0.469740861048858","0.332260974833559","0.398181340032807","0.11720173030282","-0.224581053212453","-0.0621129355593711"
"Length","Length","-0.499120648258761","0.0475525268449919","-0.294860293950366","-0.146195183453169","-0.0141896260583184","-0.214898590662847","-0.0637700337930368","0.106196597929963","0.251533229592484","-0.0913589971825335","-0.712010670373113"
"Starch","Starch","-0.243549467529371","0.0480315022176997","0.41008503072584","-0.257500229899566","-0.604404565328423","-0.294887843645399","-0.0584765031058908","0.0203955186261684","0.0137822491492816","0.485548257337311","0.108877328801819"
"Shape","Shape","-0.355026282314817","-0.42639626774937","-0.139883542464759","-0.167156094461431","-0.045198198212849","-0.21499526215664","-0.0194780551479185","0.344562712729829","-0.505946487595633","-0.362832404279722","0.299392880566159"
"Disp","Disp","-0.344643452371438","-0.126286457140165","0.17941734178931","0.0268804327636146","0.660955530639503","0.0624606818966736","0.161460839160838","0.218152672009452","-0.019319509402387","0.560250076831003","0.0606823540591202"
"Texture","Texture","-0.339356909444198","-0.139989636029458","-0.0223214306650154","0.349584374245502","-0.0374197217596855","0.282195538994104","-0.766940535729956","-0.236156940025384","0.020435941823967","0.0640823892375104","0.114042470299445"
"Compact","Compact","0.198560055869889","0.436701621970292","0.213902371487542","0.367195864858158","0.121787173282481","-0.392294416246208","-0.315929305262761","0.385362722007376","-0.363948593550118","-0.015496924954051","-0.19883927786924"
