"","numDF","denDF","F","p","factor","trait"
"(Intercept)",1,78,389.904,"<0.001","(Intercept)","SCT_CWM"
"habitat",1,78,30.169,"<0.001","habitat","SCT_CWM"
"watering",1,78,2.224,"0.14","watering","SCT_CWM"
"fertilization",1,78,1.382,"0.243","fertilization","SCT_CWM"
"habitat:watering",1,78,1.407,"0.239","habitat:watering","SCT_CWM"
"habitat:fertilization",1,78,0.009,"0.925","habitat:fertilization","SCT_CWM"
"watering:fertilization",1,78,5.823,"0.018","watering:fertilization","SCT_CWM"
"habitat:watering:fertilization",1,78,4.615,"0.035","habitat:watering:fertilization","SCT_CWM"
"(Intercept)1",1,79,28.574,"<0.001","(Intercept)","Mass_CWM"
"habitat1",1,79,68.605,"<0.001","habitat","Mass_CWM"
"watering1",1,79,1.531,"0.22","watering","Mass_CWM"
"fertilization1",1,79,2.987,"0.088","fertilization","Mass_CWM"
"habitat:watering1",1,79,0.92,"0.34","habitat:watering","Mass_CWM"
"habitat:fertilization1",1,79,7.154,"0.009","habitat:fertilization","Mass_CWM"
"watering:fertilization1",1,79,1.56,"0.215","watering:fertilization","Mass_CWM"
"(Intercept)2",1,79,66.591,"<0.001","(Intercept)","SCP_CWM"
"habitat2",1,79,66.105,"<0.001","habitat","SCP_CWM"
"watering2",1,79,18.091,"<0.001","watering","SCP_CWM"
"fertilization2",1,79,0.548,"0.461","fertilization","SCP_CWM"
"habitat:watering2",1,79,15.924,"<0.001","habitat:watering","SCP_CWM"
"habitat:fertilization2",1,79,0.17,"0.681","habitat:fertilization","SCP_CWM"
"watering:fertilization2",1,79,0.139,"0.71","watering:fertilization","SCP_CWM"
"(Intercept)3",1,82,1598.464,"<0.001","(Intercept)","CN_CWM"
"habitat3",1,82,205.346,"<0.001","habitat","CN_CWM"
"watering3",1,82,0.809,"0.371","watering","CN_CWM"
"fertilization3",1,82,6.417,"0.013","fertilization","CN_CWM"
"(Intercept)4",1,79,950.461,"<0.001","(Intercept)","Length_CWM"
"habitat4",1,79,22.191,"<0.001","habitat","Length_CWM"
"watering4",1,79,0.143,"0.706","watering","Length_CWM"
"fertilization4",1,79,10.823,"0.001","fertilization","Length_CWM"
"habitat:watering3",1,79,0.236,"0.628","habitat:watering","Length_CWM"
"habitat:fertilization3",1,79,12.48,"0.001","habitat:fertilization","Length_CWM"
"watering:fertilization3",1,79,0.124,"0.726","watering:fertilization","Length_CWM"
"(Intercept)5",1,79,249.329,"<0.001","(Intercept)","Starch_CWM"
"habitat5",1,79,104.21,"<0.001","habitat","Starch_CWM"
"watering5",1,79,3.617,"0.061","watering","Starch_CWM"
"fertilization5",1,79,13.623,"<0.001","fertilization","Starch_CWM"
"habitat:watering4",1,79,7.998,"0.006","habitat:watering","Starch_CWM"
"habitat:fertilization4",1,79,11.511,"0.001","habitat:fertilization","Starch_CWM"
"watering:fertilization4",1,79,0.304,"0.583","watering:fertilization","Starch_CWM"
"(Intercept)6",1,79,4571.389,"<0.001","(Intercept)","Shape_CWM"
"habitat6",1,79,20.872,"<0.001","habitat","Shape_CWM"
"watering6",1,79,0.007,"0.933","watering","Shape_CWM"
"fertilization6",1,79,9.091,"0.003","fertilization","Shape_CWM"
"habitat:watering5",1,79,3.663,"0.059","habitat:watering","Shape_CWM"
"habitat:fertilization5",1,79,4.833,"0.031","habitat:fertilization","Shape_CWM"
"watering:fertilization5",1,79,1.399,"0.24","watering:fertilization","Shape_CWM"
