,trait,DF,stat,(Intercept),habitat,watering,fertilization,habitat:watering,habitat:fertilization,watering:fertilization,habitat:watering:fertilization
1,SCT_CWM,"1,78",Fval,389.904,30.169,2.224,1.382,1.407,0.009,5.823,4.615
2,SCT_CWM,"1,78",p,<0.001,<0.001,0.14,0.243,0.239,0.925,0.018,0.035
3,Mass_CWM,"1,79",Fval,28.574,68.605,1.531,2.987,0.92,7.154,1.56,NA
4,Mass_CWM,"1,79",p,<0.001,<0.001,0.22,0.088,0.34,0.009,0.215,NA
5,SCP_CWM,"1,79",Fval,66.591,66.105,18.091,0.548,15.924,0.17,0.139,NA
6,SCP_CWM,"1,79",p,<0.001,<0.001,<0.001,0.461,<0.001,0.681,0.71,NA
7,CN_CWM,"1,82",Fval,1598.464,205.346,0.809,6.417,NA,NA,NA,NA
8,CN_CWM,"1,82",p,<0.001,<0.001,0.371,0.013,NA,NA,NA,NA
9,Length_CWM,"1,79",Fval,950.461,22.191,0.143,10.823,0.236,12.48,0.124,NA
10,Length_CWM,"1,79",p,<0.001,<0.001,0.706,0.001,0.628,0.001,0.726,NA
11,Starch_CWM,"1,79",Fval,249.329,104.21,3.617,13.623,7.998,11.511,0.304,NA
12,Starch_CWM,"1,79",p,<0.001,<0.001,0.061,<0.001,0.006,0.001,0.583,NA
13,Shape_CWM,"1,79",Fval,4571.389,20.872,0.007,9.091,3.663,4.833,1.399,NA
14,Shape_CWM,"1,79",p,<0.001,<0.001,0.933,0.003,0.059,0.031,0.24,NA
